"LINE","BLUP_Yield_per_plant","BLUP_Panicle_number","BLUP_Grain_number_per_panicle","BLUP_Seed_setting_rate","BLUP_Grain_weight","BLUP_Heading_date","BLUP_Height","BLUP_Panicle_length","BLUP_Grain_length","BLUP_Grain_width"
"Z93",43.783171373267,13.0027524685904,175.616790355596,0.814026281326653,23.3159621861728,85.0891694172196,105.362278665316,24.1467199782985,8.81677482891562,2.32708671251935
"Z94",42.7822924339875,13.8235853061996,154.98007825194,0.803808200893244,21.6149703120749,94.0935148678009,92.3024108345244,23.7865001636287,8.81869110986807,2.26220378665672
"Z95",44.5283988902849,14.0971962520693,169.830317730998,0.780585290817314,25.6634226701031,86.0126920275356,103.253461480174,23.4010017654733,8.91402608725216,2.47471887716331
"Z96",43.8092434729878,13.1395579415253,151.047325176107,0.822386528953987,27.222283147713,83.7038855017455,104.104387712776,23.1861338058457,9.33321254559933,2.60918639018296
"Z97",44.4523552660994,13.5499743603298,177.439785270957,0.802879284490206,23.8340540507902,85.5509307223776,104.733333189046,23.7612215801431,8.70227704200708,2.43945641745536
"Z98",45.3025954069925,13.413168887395,162.758531275626,0.818670863341838,28.5702389724698,84.3965274594826,104.585346018159,22.7247996572336,9.23548221702468,2.64679968053811
"Z99",45.0636011595523,13.2763634144601,155.991430768186,0.824244361760062,29.3267447924864,84.1656468069036,106.213204897918,22.1181136535792,9.68820359203962,2.56075927885071
"Z100",44.8036043873372,13.8235853061996,166.852588676835,0.82145761255095,22.2339296193612,83.2421241965875,105.695249799813,23.9950484773849,8.53603966938255,2.42394093518386
"Z101",44.8282280370734,13.5499743603298,174.029350963008,0.795447953265909,24.6501633596566,87.6288565955887,107.323108679571,23.0281426590608,8.3822581229489,2.62329137406614
"Z102",43.4956540513466,13.1395579415253,172.091138672379,0.795447953265909,24.3979947529844,84.1656468069036,107.693076606789,24.3868665214117,9.35812419798111,2.39196963838198
"Z103",43.7281302738566,12.8659469956556,151.743750199952,0.81495519772969,31.0231517828267,86.0126920275356,111.281765500803,24.898757836995,9.43717078726943,2.76340088063907
"Z104",42.3470332136495,12.5923360497859,162.343748724659,0.810310615714504,24.659333127172,94.7861568255379,91.6734653582539,23.6158697251009,8.44932795628445,2.62235104180726
"Z105",44.0214413957149,12.8659469956556,157.279304985077,0.828888943775247,26.7683796557031,83.2421241965875,106.213204897918,23.6980251214291,8.55089084676399,2.67594998056335
